Weight,Date,Steps,Calories,CaloriesOut,CaloriesBMR,CaloriesActivity
177.5,2013-01-01,0.0,,1723.0,1723.0,0.0
176.5,2013-01-02,0.0,,1723.0,1723.0,0.0
177.0,2013-01-03,0.0,,1723.0,1723.0,0.0
177.0,2013-01-04,0.0,,1723.0,1723.0,0.0
176.5,2013-01-05,0.0,,1723.0,1723.0,0.0
178.0,2013-01-06,0.0,,1723.0,1723.0,0.0
175.5,2013-01-07,0.0,,1723.0,1723.0,0.0
175.5,2013-01-08,0.0,,1723.0,1723.0,0.0
176.5,2013-01-09,0.0,,1723.0,1723.0,0.0
176.0,2013-01-10,0.0,,1723.0,1723.0,0.0
177.5,2013-01-11,0.0,,1723.0,1723.0,0.0
178.0,2013-01-12,0.0,,1723.0,1723.0,0.0
176.5,2013-01-13,0.0,,1723.0,1723.0,0.0
178.5,2013-01-14,299.0,,1814.0,1723.0,150.0
177.5,2013-01-15,6608.0,,2526.0,1718.0,1092.0
176.0,2013-01-16,2896.0,,2116.0,1712.0,617.0
176.5,2013-01-17,3303.0,,2134.0,1714.0,625.0
175.5,2013-01-18,2395.0,,2053.0,1709.0,517.0
176.0,2013-01-19,12412.0,,2641.0,1712.0,1226.0
177.0,2013-01-20,6257.0,,2526.0,1716.0,1084.0
177.5,2013-01-21,3722.0,,2201.0,1718.0,723.0
177.5,2013-01-22,3106.0,,2136.0,1718.0,622.0
176.5,2013-01-23,8036.0,,2439.0,1714.0,1007.0
174.5,2013-01-24,5522.0,,2486.0,1705.0,1046.0
174.5,2013-01-25,2383.0,,2029.0,1705.0,499.0
177.5,2013-01-26,5088.0,,2302.0,1718.0,884.0
,2013-01-27,2068.0,,2076.0,1721.0,567.0
177.0,2013-01-28,4698.0,,2356.0,1716.0,855.0
175.5,2013-01-29,2059.0,,1996.0,1709.0,436.0
176.0,2013-01-30,10698.0,,2676.0,1712.0,1228.0
175.5,2013-01-31,19147.0,,3129.0,1713.0,1891.0
176.5,2013-02-01,8206.0,,2530.0,1713.0,1166.0
,2013-02-02,10314.0,,2470.0,1713.0,1009.0
,2013-02-03,4418.0,,2263.0,1713.0,833.0
176.5,2013-02-04,7292.0,,2684.0,1714.0,1290.0
175.0,2013-02-05,3156.0,,2174.0,1714.0,699.0
175.0,2013-02-06,5023.0,,2276.0,1714.0,847.0
176.0,2013-02-07,2506.0,,2060.0,1714.0,532.0
177.0,2013-02-08,3049.0,,2142.0,1714.0,665.0
177.5,2013-02-09,6960.0,,2702.0,1714.0,1542.0
176.5,2013-02-10,4056.0,,2208.0,1714.0,764.0
176.0,2013-02-11,4494.0,,2318.0,1714.0,908.0
176.5,2013-02-12,2592.0,,2067.0,1714.0,533.0
175.5,2013-02-13,4613.0,,2272.0,1714.0,840.0
177.0,2013-02-14,8171.0,,2639.0,1714.0,1367.0
176.0,2013-02-15,10220.0,,2812.0,1714.0,1654.0
,2013-02-16,13572.0,,3123.0,1714.0,2101.0
,2013-02-17,19494.0,,3379.0,1714.0,2420.0
175.5,2013-02-18,5658.0,,2261.0,1714.0,797.0
,2013-02-19,11653.0,,2639.0,1714.0,1283.0
176.5,2013-02-20,9210.0,,2460.0,1714.0,1016.0
177.5,2013-02-21,9830.0,,2605.0,1714.0,1305.0
175.5,2013-02-22,8004.0,,2503.0,1714.0,1125.0
175.0,2013-02-23,13976.0,,3155.0,1714.0,1957.0
175.5,2013-02-24,5577.0,,2387.0,1714.0,1038.0
177.5,2013-02-25,7317.0,,2446.0,1714.0,1030.0
177.5,2013-02-26,13604.0,,2853.0,1714.0,1471.0
175.5,2013-02-27,6638.0,,2321.0,1714.0,855.0
177.0,2013-02-28,10521.0,,2593.0,1714.0,1155.0
175.5,2013-03-01,5267.0,,2238.0,1714.0,755.0
176.0,2013-03-02,8132.0,,2657.0,1714.0,1421.0
,2013-03-03,11309.0,,2860.0,1714.0,1692.0
176.0,2013-03-04,9160.0,,2501.0,1714.0,1068.0
176.0,2013-03-05,7690.0,,2464.0,1714.0,1076.0
177.5,2013-03-06,7050.0,,2414.0,1714.0,1012.0
,2013-03-07,12157.0,,2813.0,1714.0,1520.0
,2013-03-08,14972.0,,2690.0,1714.0,1291.0
,2013-03-09,11135.0,,2534.0,1714.0,1093.0
,2013-03-10,10302.0,,2543.0,1714.0,1115.0
,2013-03-11,12879.0,,2669.0,1714.0,1241.0
,2013-03-12,11388.0,,2611.0,1714.0,1166.0
,2013-03-13,6079.0,,2506.0,1714.0,1187.0
,2013-03-14,10451.0,,2759.0,1714.0,1333.0
177.0,2013-03-15,7064.0,,2374.0,1714.0,941.0
176.5,2013-03-16,6769.0,,2443.0,1714.0,1072.0
178.5,2013-03-17,7258.0,,2530.0,1714.0,1226.0
177.5,2013-03-18,7499.0,,2365.0,1714.0,896.0
177.5,2013-03-19,5942.0,,2199.0,1714.0,681.0
177.0,2013-03-20,7318.0,,2338.0,1714.0,860.0
179.0,2013-03-21,6553.0,,2265.0,1714.0,764.0
178.5,2013-03-22,5860.0,,2330.0,1714.0,886.0
178.5,2013-03-23,9118.0,,2550.0,1714.0,1198.0
179.0,2013-03-24,2491.0,,2082.0,1714.0,583.0
178.0,2013-03-25,11086.0,,2651.0,1714.0,1308.0
179.5,2013-03-26,6171.0,,2288.0,1714.0,834.0
178.0,2013-03-27,6894.0,,2330.0,1714.0,882.0
178.0,2013-03-28,6680.0,,2302.0,1714.0,828.0
176.0,2013-03-29,6774.0,,2481.0,1714.0,1138.0
175.5,2013-03-30,11332.0,,2803.0,1714.0,1582.0
,2013-03-31,12817.0,,2915.0,1714.0,1623.0
178.0,2013-04-01,6400.0,,2238.0,1714.0,726.0
,2013-04-02,11800.0,,2732.0,1714.0,1303.0
177.0,2013-04-03,7189.0,,2288.0,1714.0,789.0
178.5,2013-04-04,12685.0,,2700.0,1714.0,1287.0
177.0,2013-04-05,8628.0,,2438.0,1714.0,999.0
179.0,2013-04-06,16332.0,,3032.0,1714.0,1735.0
180.5,2013-04-07,10123.0,,2558.0,1714.0,1185.0
180.0,2013-04-08,9805.0,,2533.0,1714.0,1047.0
177.5,2013-04-09,7966.0,,2423.0,1714.0,999.0
,2013-04-10,6636.0,,2293.0,1714.0,812.0
178.5,2013-04-11,6015.0,,2292.0,1714.0,821.0
179.5,2013-04-12,12182.0,,2694.0,1714.0,1301.0
178.5,2013-04-13,10574.0,,2624.0,1714.0,1192.0
180.0,2013-04-14,6789.0,,2521.0,1714.0,1217.0
178.5,2013-04-15,3649.0,,2114.0,1714.0,586.0
175.5,2013-04-16,5869.0,,2246.0,1714.0,753.0
174.0,2013-04-17,7215.0,,2355.0,1714.0,901.0
173.0,2013-04-18,6749.0,,2311.0,1714.0,852.0
173.5,2013-04-19,8645.0,,2418.0,1714.0,945.0
173.5,2013-04-20,12588.0,,2831.0,1714.0,1505.0
174.0,2013-04-21,9372.0,,2576.0,1714.0,1177.0
174.5,2013-04-22,5674.0,,2217.0,1714.0,721.0
175.0,2013-04-23,6507.0,,2265.0,1714.0,767.0
174.0,2013-04-24,10365.0,,2543.0,1714.0,1167.0
174.5,2013-04-25,6882.0,,2243.0,1714.0,721.0
175.0,2013-04-26,155.0,,1735.0,1714.0,34.0
174.5,2013-04-27,7902.0,,2473.0,1714.0,1088.0
176.5,2013-04-28,6285.0,,2342.0,1714.0,907.0
176.0,2013-04-29,379.0,,1747.0,1714.0,47.0
174.5,2013-04-30,0.0,,1714.0,1714.0,0.0
175.0,2013-05-01,0.0,,1714.0,1714.0,0.0
176.0,2013-05-02,0.0,,1714.0,1714.0,0.0
175.5,2013-05-03,0.0,,1714.0,1714.0,0.0
174.0,2013-05-04,0.0,,1714.0,1714.0,0.0
176.5,2013-05-05,0.0,,1714.0,1714.0,0.0
176.0,2013-05-06,0.0,,1714.0,1714.0,0.0
175.0,2013-05-07,0.0,,1714.0,1714.0,0.0
175.0,2013-05-08,0.0,,1714.0,1714.0,0.0
175.5,2013-05-09,0.0,,1714.0,1714.0,0.0
175.5,2013-05-10,0.0,,1714.0,1714.0,0.0
176.5,2013-05-11,0.0,,1714.0,1714.0,0.0
176.5,2013-05-12,0.0,,1714.0,1714.0,0.0
178.5,2013-05-13,0.0,,1714.0,1714.0,0.0
177.5,2013-05-14,0.0,,1714.0,1714.0,0.0
175.5,2013-05-15,0.0,,1714.0,1714.0,0.0
175.5,2013-05-16,0.0,,1714.0,1714.0,0.0
176.5,2013-05-17,67.0,,1780.0,1714.0,106.0
176.5,2013-05-18,10687.0,,2616.0,1714.0,1203.0
177.0,2013-05-19,9277.0,,2525.0,1714.0,1119.0
179.0,2013-05-20,6837.0,,2265.0,1714.0,790.0
,2013-05-21,5875.0,,2187.0,1714.0,655.0
